# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-17 09:28:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/dupa/LAB_01/samples/code_4-20230317092841_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.515677
# Diagonal elements of inverse mass matrix:
# 0.75383
-3.01749,0.665349,0.515677,1,3,1,4.05144,2.60552
-3.80962,0.999326,0.515677,3,7,0,3.84919,3.28561
-4.22357,0.999634,0.515677,2,3,0,4.23283,3.63709
-4.1273,1,0.515677,3,7,0,4.22686,3.55554
-6.09199,0.832386,0.515677,2,6,1,6.942,5.20346
-6.62037,0.999698,0.515677,1,3,0,6.87267,5.64235
-8.87252,0.833073,0.515677,2,6,1,10.0458,7.50103
-8.77468,0.999984,0.515677,3,7,0,9.1595,7.4206
-7.73382,0.857117,0.515677,2,7,1,10.123,6.56336
-7.60454,1,0.515677,1,1,0,7.73433,6.45666
-8.23216,0.999747,0.515677,1,3,0,8.62295,6.97417
-8.72496,0.99985,0.515677,1,3,0,8.92565,7.37972
-8.6225,1,0.515677,1,1,0,8.72847,7.29545
-8.37093,0.999998,0.515677,2,3,0,8.67147,7.08844
-6.41593,0.999915,0.515677,2,7,0,9.16561,5.4727
-5.97907,1,0.515677,2,3,0,6.42463,5.10948
-5.58719,0.999856,0.515677,3,7,0,6.7014,4.78276
-4.97688,0.999877,0.515677,1,3,0,5.96768,4.27191
-1.20238,0.75,0.515677,2,4,1,6.35042,0.952086
-1.44837,0.997708,0.515677,2,3,0,1.46736,1.19419
-1.36585,1,0.515677,1,1,0,1.44907,1.11433
-1.83779,0.665011,0.515677,1,3,1,2.11856,1.55905
-3.25007,0.746979,0.515677,2,4,1,3.63522,2.80644
-3.36843,0.999816,0.515677,1,1,0,3.36898,2.90826
-1.8922,0.666667,0.515677,1,3,1,6.84475,1.60886
-1.80245,0.999881,0.515677,2,3,0,1.97155,1.52657
-1.79637,1,0.515677,1,1,0,1.82902,1.52097
-1.39462,0.999498,0.515677,1,3,0,1.97413,1.1423
-1.48285,0.998067,0.515677,2,3,0,1.69471,1.22723
-1.14068,0.666667,0.515677,1,3,1,1.61335,0.889013
-0.817654,1,0.515677,2,3,0,1.12919,0.525407
-0.810599,1,0.515677,1,1,0,0.829009,0.516244
-0.810599,0,0.515677,0,1,1,1.5604,0.516244
-2.01814,0.45497,0.515677,1,2,1,5.01634,1.72337
-1.21435,0.333333,0.515677,2,3,0,3.05261,0.964182
-1.0217,0.999106,0.515677,2,3,0,1.34943,0.763351
-2.15162,0.976632,0.515677,3,7,0,2.77733,1.84365
-2.43465,0.999697,0.515677,3,7,0,2.45988,2.0957
-2.30616,0.99994,0.515677,2,3,0,2.50632,1.98172
-2.30372,1,0.515677,1,1,0,2.3366,1.97955
-0.652676,0.999825,0.515677,2,5,0,2.23477,0.190108
-0.743558,0.96565,0.515677,1,3,0,0.812677,0.422563
-0.743558,0,0.515677,0,1,1,1.9702,0.422563
-0.656331,0.996682,0.515677,1,3,0,0.789267,0.166435
-0.656331,0,0.515677,0,1,1,0.93803,0.166435
-0.784341,0.933508,0.515677,1,3,0,0.929833,0.481163
-0.784341,0,0.515677,0,1,1,2.34002,0.481163
-1.04553,0.645367,0.515677,2,3,0,1.16011,0.78903
-0.654012,0.5,0.515677,1,2,1,1.48877,0.223888
-0.654012,0.461689,0.515677,1,2,1,1.20285,0.223888
-0.654012,0,0.515677,0,1,1,1.27008,0.223888
-2.16251,0.846212,0.515677,3,7,0,2.16455,1.85341
-2.93699,0.799104,0.515677,2,5,1,2.96788,2.53568
-1.53045,0.75,0.515677,2,4,1,3.33263,1.27257
-0.798383,0.5,0.515677,1,2,1,2.59043,0.500129
-0.90064,0.99659,0.515677,2,3,0,0.930033,0.627221
-0.937718,0.999628,0.515677,2,3,0,0.94277,0.670113
-0.746166,0.999059,0.515677,2,3,0,1.0147,0.426508
-0.835228,0.664873,0.515677,1,3,1,0.839579,0.547821
-1.30411,0.975965,0.515677,1,3,0,1.71209,1.05376
-1.37981,0.9992,0.515677,2,3,0,1.45216,1.12793
-1.43471,0.999827,0.515677,2,3,0,1.44119,1.18105
-2.51434,0.993425,0.515677,2,5,0,2.69285,2.16605
-1.6356,0.666667,0.515677,1,3,1,3.66215,1.37169
-1.53826,1,0.515677,1,1,0,1.63548,1.27997
-1.50864,0.999761,0.515677,2,3,0,1.63646,1.25183
-1.16734,0.999563,0.515677,1,3,0,1.63576,0.916417
-0.703721,0.5,0.515677,1,2,1,1.88218,0.0975989
-0.653474,1,0.515677,1,1,0,0.684075,0.219486
-0.653474,0,0.515677,0,1,1,1.12476,0.219486
-0.996448,0.452512,0.515677,1,2,1,1.44714,0.735798
-1.89335,0.988629,0.515677,2,7,0,2.01588,1.60992
-2.05596,0.99943,0.515677,2,3,0,2.111,1.75755
-0.695481,0.749564,0.515677,2,4,1,2.55525,0.341507
-0.695481,0,0.515677,0,1,1,1.3582,0.341507
-0.695481,0,0.515677,0,1,1,4.22353,0.341507
-0.695481,0,0.515677,0,1,1,1.72272,0.341507
-0.806035,0.996527,0.515677,1,3,0,0.827411,0.510262
-0.806035,0,0.515677,0,1,1,2.15847,0.510262
-1.00978,0.993341,0.515677,2,3,0,1.01948,0.750393
-0.971854,1,0.515677,1,1,0,1.11192,0.0229959
-0.851605,1,0.515677,1,1,0,1.38874,0.568243
-0.65239,0.5,0.515677,1,2,1,0.988421,0.203126
-0.652384,0.99863,0.515677,2,3,0,0.658871,0.197187
-0.70727,0.524547,0.515677,2,3,0,0.73735,0.363324
-0.70727,0,0.515677,0,1,1,0.970566,0.363324
-0.686381,1,0.515677,1,1,0,0.705638,0.323221
-0.686381,0,0.515677,0,1,1,0.976663,0.323221
-0.66186,0.997807,0.515677,1,3,0,0.70495,0.149808
-1.24882,0.630465,0.515677,2,4,1,1.38878,0.998819
-1.86149,0.663712,0.515677,1,3,1,2.41839,1.58077
-1.10973,0.998343,0.515677,3,7,0,2.61363,0.856892
-0.902163,0.666667,0.515677,1,3,1,1.14705,0.629009
-1.16306,0.991531,0.515677,2,3,0,1.26592,0.912033
-0.969564,0.666667,0.515677,1,3,1,1.1878,0.706032
