# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-17 09:28:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/dupa/LAB_01/samples/code_4-20230317092841_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.857168
# Diagonal elements of inverse mass matrix:
# 0.452566
-2.58361,0.665569,0.857168,1,3,1,2.69784,2.22702
-1.89553,0.666667,0.857168,1,3,1,2.85105,1.61191
-0.762582,0.5,0.857168,1,2,1,2.65583,0.0657811
-0.762582,1.56667e-26,0.857168,1,1,0,1.11406,0.0657811
-0.67636,1,0.857168,1,1,0,0.717506,0.300878
-0.708802,0.993643,0.857168,1,1,0,0.710076,0.366038
-0.692676,0.970318,0.857168,2,3,0,0.728409,0.106821
-0.692676,0,0.857168,0,1,1,0.940703,0.106821
-0.692676,0,0.857168,0,1,1,1.05007,0.106821
-0.692676,0.180553,0.857168,1,2,1,2.66866,0.106821
-0.703078,0.979556,0.857168,1,1,0,0.767621,0.0980915
-0.703078,0,0.857168,0,1,1,0.933747,0.0980915
-0.97127,0.697036,0.857168,1,3,0,1.29046,0.707935
-0.97127,0,0.857168,0,1,1,1.68481,0.707935
-0.979584,0.99966,0.857168,1,1,0,1.00932,0.717182
-0.979584,0.873082,0.857168,1,1,0,1.41855,0.717182
-1.14236,0.66477,0.857168,1,3,1,1.14259,0.890747
-1.03994,1,0.857168,1,1,0,1.14351,0.783034
-1.03994,0,0.857168,0,1,1,1.9072,0.783034
-0.981841,1,0.857168,1,1,0,1.05033,0.719685
-0.92367,1,0.857168,2,3,0,0.989948,0.65401
-1.74644,0.957346,0.857168,1,3,0,2.36469,1.47486
-1.58721,1,0.857168,1,1,0,1.74614,1.32623
-1.01645,0.5,0.857168,1,2,1,1.79931,0.75765
-0.652925,0.5,0.857168,1,2,1,1.11806,0.186848
-0.789134,0.709813,0.857168,1,1,0,1.0273,0.0564589
-0.789134,0.0634793,0.857168,2,5,0,3.00437,0.0564589
-0.788287,1,0.857168,1,1,0,1.203,0.0567264
-0.788287,0,0.857168,0,1,1,2.35854,0.0567264
-0.788287,0.17994,0.857168,3,7,0,1.56358,0.0567264
-0.805674,0.435568,0.857168,2,3,0,1.33451,0.0515678
-2.52499,0.195683,0.857168,3,7,0,2.9286,2.17544
-2.70263,0.999259,0.857168,1,1,0,2.70437,2.33139
-2.52962,1,0.857168,2,3,0,2.70409,2.17951
-2.04271,0.666667,0.857168,1,3,1,2.61689,1.74559
-1.13368,0.5,0.857168,1,2,1,2.71193,0.881778
-1.13368,0,0.857168,0,1,1,1.93845,0.881778
-1.81102,0.491333,0.857168,1,2,1,2.14592,1.53445
-1.93423,0.998973,0.857168,1,1,0,1.94157,1.6472
-1.48195,0.666667,0.857168,1,3,1,2.01386,1.22637
-1.40545,1,0.857168,2,3,0,1.49596,1.1528
-1.43907,0.999488,0.857168,1,1,0,1.46867,1.18524
-1.43907,0,0.857168,0,1,1,4.05184,1.18524
-0.833698,0.5,0.857168,1,2,1,1.72763,0.545891
-0.99142,0.992445,0.857168,2,3,0,1.06039,0.730267
-1.54944,0.490123,0.857168,1,2,1,1.77196,1.29057
-2.20781,0.745693,0.857168,2,4,1,2.46997,1.89399
-2.14135,1,0.857168,1,1,0,2.23141,1.83442
-0.698718,0.857143,0.857168,2,7,1,1.47932,0.101567
-0.698718,0,0.857168,0,1,1,1.57529,0.101567
-0.698718,0.385826,0.857168,2,7,1,1.80218,0.101567
-0.936316,0.369088,0.857168,1,2,1,1.20321,0.668512
-1.48201,0.488595,0.857168,1,2,1,1.70373,1.22643
-0.652696,0.744618,0.857168,2,4,1,2.2365,0.210555
-0.653111,0.99981,0.857168,1,1,0,0.65326,0.215907
-0.653111,0,0.857168,0,1,1,3.167,0.215907
-2.00329,0.670638,0.857168,2,7,1,2.23473,1.70992
-2.05555,0.999879,0.857168,2,3,0,2.08373,1.75718
-1.92108,1,0.857168,1,1,0,2.06038,1.63522
-1.81773,1,0.857168,1,1,0,1.93181,1.54062
-1.18381,0.5,0.857168,1,2,1,2.07692,0.93323
-0.660985,0.995007,0.857168,1,3,0,1.44534,0.257235
-1.61088,0.573645,0.857168,2,4,1,2.86779,1.3485
-1.89091,0.665698,0.857168,1,3,1,1.89988,1.60769
-1.30356,1,0.857168,2,3,0,1.89264,1.05322
-2.50847,0.486813,0.857168,1,2,1,3.77865,2.16088
-1.85298,0.666667,0.857168,1,3,1,2.7429,1.57298
-2.23228,0.66569,0.857168,1,3,1,2.26923,1.91586
-1.31878,0.997945,0.857168,1,3,0,2.87264,1.06822
-1.14254,0.999515,0.857168,2,3,0,1.40973,0.890931
-1.14254,0,0.857168,0,1,1,2.56994,0.890931
-0.699937,0.5,0.857168,1,2,1,1.29679,0.349965
-0.699937,1.56656e-07,0.857168,1,1,0,0.793762,0.349965
-0.699937,0,0.857168,0,1,1,1.27617,0.349965
-0.699937,0.944128,0.857168,1,3,0,1.21492,0.349965
-0.899097,0.486965,0.857168,1,2,1,0.926129,0.625407
-1.41445,0.487883,0.857168,1,2,1,1.61374,1.1615
-0.652411,0.5,0.857168,1,2,1,2.04275,0.20407
-0.743039,0.483141,0.857168,1,2,1,0.760717,0.421774
-1.18607,0.967976,0.857168,2,3,0,1.19236,0.93553
-0.778381,0.5,0.857168,1,2,1,1.28862,0.472953
-0.778381,0,0.857168,0,1,1,1.1212,0.472953
-0.814459,0.996928,0.857168,1,1,0,0.824027,0.521269
-1.16232,0.488987,0.857168,1,2,1,1.24034,0.911272
-1.08975,1,0.857168,1,1,0,1.17167,0.835971
-1.12536,0.998983,0.857168,1,1,0,1.14812,0.873158
-1.02299,1,0.857168,1,1,0,1.12612,0.764756
-1.01631,1,0.857168,2,3,0,1.0549,0.7575
-0.6716,0.5,0.857168,1,2,1,1.07455,0.131441
